#time state counter
1.000000 1 1
2.000000 1 1
3.000000 1 1
4.000000 1 1
5.000000 1 1
6.000000 1 1
7.000000 1 1
8.000000 1 1
9.000000 1 1
10.000000 1 1
11.000000 1 1
12.000000 1 1
13.000000 1 1
14.000000 1 1
15.000000 1 1
16.000000 1 1
17.000000 1 1
18.000000 1 1
19.000000 1 1
20.000000 1 1
21.000000 1 1
22.000000 1 1
23.000000 1 1
24.000000 1 1
25.000000 1 1
26.000000 1 1
27.000000 1 1
28.000000 1 1
29.000000 1 1
30.000000 1 1
31.000000 1 1
32.000000 1 1
33.000000 1 1
34.000000 1 1
35.000000 1 1
36.000000 1 1
37.000000 1 1
38.000000 1 1
39.000000 1 1
40.000000 1 1
41.000000 1 1
42.000000 1 1
43.000000 1 1
44.000000 1 1
45.000000 1 1
46.000000 1 1
47.000000 1 1
48.000000 1 1
49.000000 1 1
50.000000 1 1
51.000000 1 1
52.000000 1 1
53.000000 1 1
54.000000 1 1
55.000000 1 1
56.000000 1 1
57.000000 1 1
58.000000 1 1
59.000000 1 1
60.000000 1 1
61.000000 1 1
62.000000 1 1
63.000000 2 2
64.000000 2 2
65.000000 2 2
66.000000 2 2
67.000000 2 2
68.000000 2 2
69.000000 2 2
70.000000 2 2
71.000000 2 2
72.000000 2 2
73.000000 2 2
74.000000 2 2
75.000000 2 2
76.000000 2 2
77.000000 2 2
78.000000 2 2
79.000000 2 2
80.000000 2 2
81.000000 2 2
82.000000 2 2
83.000000 2 2
84.000000 2 2
85.000000 2 2
86.000000 2 2
87.000000 2 2
88.000000 2 2
89.000000 2 2
90.000000 2 2
91.000000 2 2
92.000000 2 2
93.000000 2 2
94.000000 2 2
95.000000 2 2
96.000000 2 2
97.000000 2 2
98.000000 2 2
99.000000 2 2
100.000000 2 2
101.000000 2 2
102.000000 2 2
103.000000 2 2
104.000000 2 2
105.000000 2 2
106.000000 2 2
107.000000 2 2
108.000000 2 2
109.000000 1 2
110.000000 1 2
111.000000 1 2
112.000000 1 2
113.000000 1 2
114.000000 1 2
115.000000 1 2
116.000000 1 2
117.000000 1 2
118.000000 1 2
119.000000 1 2
120.000000 1 2
121.000000 5 3
122.000000 5 3
123.000000 1 3
124.000000 1 3
125.000000 1 3
126.000000 1 3
127.000000 1 3
128.000000 1 3
129.000000 5 3
130.000000 5 3
131.000000 5 3
132.000000 5 3
133.000000 1 3
134.000000 1 3
135.000000 1 3
136.000000 1 3
137.000000 1 3
138.000000 1 3
139.000000 1 3
140.000000 1 3
141.000000 1 3
142.000000 1 3
143.000000 1 3
144.000000 1 3
145.000000 1 3
146.000000 1 3
147.000000 1 3
148.000000 1 3
149.000000 1 3
150.000000 1 3
151.000000 1 3
152.000000 1 3
153.000000 1 3
154.000000 1 3
155.000000 1 3
156.000000 1 3
157.000000 1 3
158.000000 1 3
159.000000 1 3
160.000000 1 3
161.000000 1 3
162.000000 1 3
163.000000 1 3
164.000000 1 3
165.000000 1 3
166.000000 1 3
167.000000 1 3
168.000000 1 3
169.000000 1 3
170.000000 1 3
171.000000 1 3
172.000000 5 3
173.000000 5 3
174.000000 5 3
175.000000 5 3
176.000000 2 3
177.000000 2 3
178.000000 2 3
179.000000 2 3
180.000000 2 3
181.000000 2 3
182.000000 2 3
183.000000 2 3
184.000000 2 3
185.000000 2 3
186.000000 2 3
187.000000 2 3
188.000000 1 3
189.000000 1 3
190.000000 1 3
191.000000 1 3
192.000000 1 3
193.000000 1 3
194.000000 5 3
195.000000 5 3
196.000000 5 3
197.000000 5 3
198.000000 5 3
199.000000 5 3
200.000000 5 3
201.000000 5 3
202.000000 5 3
203.000000 5 3
204.000000 5 3
205.000000 5 3
206.000000 5 3
207.000000 1 3
208.000000 1 3
209.000000 1 3
210.000000 1 3
211.000000 1 3
212.000000 1 3
213.000000 1 3
214.000000 1 3
215.000000 1 3
216.000000 1 3
217.000000 1 3
218.000000 1 3
219.000000 1 3
220.000000 1 3
221.000000 1 3
222.000000 1 3
223.000000 1 3
224.000000 1 3
225.000000 1 3
226.000000 2 3
227.000000 1 3
228.000000 1 3
229.000000 1 3
230.000000 1 3
231.000000 1 3
232.000000 1 3
233.000000 1 3
234.000000 1 3
